IsConsenting,Group,AnonName,GameExp_InYrs,Commonly_Played_Game_Genres,What_Do_You_Know_About_As_Dusk_Falls,GEQ_C_Q2,GEQ_C_Q10,GEQ_C_Q15,GEQ_C_Q17,GEQ_C_Q21,GEQ_C_Q3,GEQ_C_Q12,GEQ_C_Q18,GEQ_C_Q19,GEQ_C_Q27,GEQ_C_Q30,GEQ_C_Q5,GEQ_C_Q13,GEQ_C_Q25,GEQ_C_Q28,GEQ_C_Q31,GEQ_C_Q22,GEQ_C_Q24,GEQ_C_Q29,GEQ_C_Q11,GEQ_C_Q23,GEQ_C_Q26,GEQ_C_Q32,GEQ_C_Q33,GEQ_C_Q7,GEQ_C_Q8,GEQ_C_Q9,GEQ_C_Q16,GEQ_C_Q1,GEQ_C_Q4,GEQ_C_Q6,GEQ_C_Q14,GEQ_C_Q20,GEQ_S_Q1,GEQ_S_Q4,GEQ_S_Q8,GEQ_S_Q9,GEQ_S_Q10,GEQ_S_Q13,GEQ_S_Q7,GEQ_S_Q11,GEQ_S_Q12,GEQ_S_Q16,GEQ_S_Q17,GEQ_S_Q2,GEQ_S_Q3,GEQ_S_Q5,GEQ_S_Q6,GEQ_S_Q14,GEQ_S_Q15,GEQ_P_Q1,GEQ_P_Q5,GEQ_P_Q7,GEQ_P_Q8,GEQ_P_Q12,GEQ_P_Q16,GEQ_P_Q2,GEQ_P_Q4,GEQ_P_Q6,GEQ_P_Q11,GEQ_P_Q14,GEQ_P_Q15,GEQ_P_Q10,GEQ_P_Q13,GEQ_P_Q3,GEQ_P_Q9,GEQ_P_Q17,AS_Q1,AS_Q2,AS_Q3,AS_Q4,AS_Q5,AS_Q6,AS_Q7,AS_Q8,Choice_InCar_WifeVsDad,Choice_Mot_WaitOrRing,Choice_Mot_Bedroom_WifeVsDad,Choice_Hos_DogVsDale,Choice_Hos_JoyceVsDog,Choice_Hos_Pnk_TravelWith,Choice_Hos_AimGun,Choice_Hos_DogCalmQT,Choice_Hos_DogKicked,AC_NB_HM_Q1,AC_NB_HM_Q2,AC_NB_HM_Q3,AC_NB_HM_Q4,AC_NB_HM_Q5,AC_NB_HM_Q6,AC_NB_HM_Q7,AC_NBD_HM_Q1,AC_NBD_HM_Q2,AC_NBD_HM_Q3,AC_NBD_HM_Q4,AC_NBD_HM_Q5,AC_NBD_HM_Q6,AC_NBD_HM_Q7,AC_B_HM_Q1,AC_B_HM_Q2,AC_B_HM_Q3,AC_B_HM_Q4,AC_B_HM_Q5,AC_B_HM_Q6,AC_B_HM_Q7,AC_NB_LM_Q1,AC_NB_LM_Q2,AC_NB_LM_Q3,AC_NB_LM_Q4,AC_NB_LM_Q5,AC_NB_LM_Q6,AC_NB_LM_Q7,AC_NBD_LM_Q1,AC_NBD_LM_Q2,AC_NBD_LM_Q3,AC_NBD_LM_Q4,AC_NBD_LM_Q5,AC_NBD_LM_Q6,AC_NBD_LM_Q7,AC_B_LM_Q1,AC_B_LM_Q2,AC_B_LM_Q3,AC_B_LM_Q4,AC_B_LM_Q5,AC_B_LM_Q6,AC_B_LM_Q7,Order_NB_HM,Order_NBD_HM,Order_B_HM,Order_NB_LM,Order_NBD_LM,Order_B_LM,GEQ_Competence,GEQ_Immersion,GEQ_Flow,GEQ_Annoy,GEQ_Challenge,GEQ_NegativeAffect,GEQ_PositiveAffect,GEQ_Empathy,GEQ_NegativeFeeling,GEQ_BehaviouralInvolvement,GEQ_PositiveExperience,GEQ_NegativeExperience,GEQ_Tiredness,GEQ_ReturnToReality
I accept,1,A11,19,"Moba, Shooter, Immersive sims",Nothing,4,3,3,1,1,4,1,3,2,4,1,4,4,1,4,3,1,0,1,3,1,3,1,3,1,4,0,0,3,4,3,3,3,3,3,3,1,1,0,0,4,4,3,0,4,3,4,4,4,1,0,1,3,1,3,1,1,3,0,0,1,0,3,1,3,2,4,5,5,5,5,4,5,5,5,1,2,1,1,2,1,2,2,2,4,5,4,4,4,4,1,2,2,2,2,2,4,4,2,2,1,3,1,4,4,4,3,4,3,4,4,1,4,5,5,5,5,5,2,4,4,3,5,2,5,4, , , , , , ,2.4,2.5,3.2,.666666666666667,2.2,1.25,3.2,1.83333333333333,2.2,3.33333333333333,1.5,.833333333333333,2,3.33333333333333
I accept,1,A12,15,strategy,Nothing at the moment,3,4,3,1,4,2,2,1,3,2,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,2,2,3,2,3,2,2,2,3,1,0,2,0,4,4,0,0,3,4,2,2,3,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,4,3,2,1,1,1,3,2,3,2,4,5,4,5,4,5,2,4,3,4,3,3,4,1,4,3,4,4,4,4,3,4,4,4,5,3,4,1,5,5,5,5,5,4,4,5,5,5,5,5,5,4, , , , , , ,3,1.83333333333333,.8,0,.2,1.5,2.4,1.66666666666667,1.6,3,.833333333333333,0,0,1.33333333333333
I accept,1,A13,14,"FPS, sport games, action games",Nothing,2,2,1,2,3,3,4,4,2,4,3,4,3,3,4,3,1,1,2,1,3,3,4,3,2,1,0,0,4,4,3,3,3,3,3,3,4,4,2,1,4,3,4,4,4,3,3,3,4,4,2,2,2,1,2,2,2,4,0,0,3,1,0,2,1,2,3,5,5,5,5,4,5,5,5,3,2,2,1,1,2,1,3,1,4,4,4,5,4,4,5,4,4,5,4,4,3,4,5,5,5,5,4,5,5,3,3,2,2,1,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , ,2,3.33333333333333,3.4,1.33333333333333,2.8,.75,3.4,3.16666666666667,3.2,3.5,1.83333333333333,1.66666666666667,1,2.66666666666667
I accept,1,A14,11,"shooters,roquelites,soulslikes",nothing,3,3,3,2,2,4,4,4,3,4,4,3,1,2,4,0,0,1,1,3,3,3,3,4,2,1,0,0,3,3,2,3,4,3,4,2,3,3,0,0,4,1,4,0,3,4,3,4,1,4,2,0,1,3,0,0,1,3,0,0,3,0,0,1,0,0,4,5,5,5,3,4,5,2,5,3,2,1,1,2,3,1,2,2,5,4,4,5,3,4,3,4,5,2,2,2,5,4,3,4,3,3,4,5,2,4,2,4,3,5,2,1,5,5,4,5,5,3,4,5,4,3,4,2,3,4, , , , , , ,2.6,3.83333333333333,2,.666666666666667,3.2,.75,3,2.5,1.8,3.16666666666667,1,1.16666666666667,.5,2.66666666666667
I accept,1,A15,15,"First Person Shooters, Survival",Nothing,4,4,3,4,4,2,2,3,1,2,2,3,1,2,3,0,1,0,0,0,2,1,1,0,0,0,0,1,3,2,2,3,3,3,2,1,2,1,0,0,3,1,2,3,4,2,3,3,3,3,2,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,1,4,5,5,5,3,4,5,4,3,2,2,1,1,2,1,3,1,4,1,1,3,2,4,1,3,3,4,4,2,5,2,5,5,5,5,5,5,5,2,4,5,5,5,5,1,5,3,5,5,5,3,4,4,3,2,1,1,4,2, , , , , , ,3.8,2,1.8,.333333333333333,.8,.25,2.6,1.5,1.8,3,1.16666666666667,.166666666666667,.5,1
I accept,1,A16,18,"RPG, Shooters, RTS, Farming simulators",I know nothing about that video game.,1,3,2,2,4,4,3,2,1,3,3,4,3,3,3,2,1,2,1,0,3,1,3,1,2,1,0,1,1,3,2,2,3,4,3,3,3,4,3,0,2,3,2,1,4,3,3,4,3,4,2,2,3,4,1,1,1,3,0,0,1,1,0,2,1,0,2,5,5,5,5,3,4,5,4,2,1,1,2,1,1,1,3,1,4,4,4,4,4,4,3,4,3,4,3,3,5,4,5,5,3,4,3,5,5,3,4,4,4,4,5,2,5,5,5,5,5,4,4,5,4,4,5,5,5,4, , , , , , ,2.4,2.66666666666667,3,1.33333333333333,1.6,1,2.2,3.33333333333333,1.6,3.5,2.16666666666667,1,1,2
I accept,2,B1,12,"Sports, Building games, adventure, shooters",Nothing,3,3,3,3,3,4,3,1,2,3,3,3,2,3,2,2,0,0,0,1,1,1,2,1,0,1,1,0,3,3,4,3,4,3,1,3,2,2,2,0,3,3,3,2,1,2,2,2,3,3,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,4,3,4,4,3,4,4,2,3,2,2,2,1,2,2,3,2,2,2,3,1,2,2,2,3,3,3,2,3,4,1,4,4,4,3,4,5,2,2,2,5,1,4,3,2,4,4,4,4,4,4,3,4,4,4,4,4,3,3, , , , , , ,3,2.66666666666667,2.4,0,1.2,.5,3.4,2.16666666666667,2.2,2.16666666666667,1.83333333333333,0,0,1.66666666666667
I accept,2,B2,16,"Shooters, racing games, Nintendo, Brawlhalla,","Nothing, never heard of it",3,3,4,4,3,4,3,3,1,3,4,2,1,1,2,3,1,1,0,0,2,2,1,1,1,1,0,1,3,3,3,3,4,3,3,2,3,3,1,0,3,3,0,2,3,3,4,2,2,2,2,1,2,2,2,2,0,2,1,1,0,0,1,1,1,1,2,4,4,4,4,2,3,4,3,3,2,2,1,1,1,2,3,2,4,3,2,3,4,4,3,2,2,4,2,2,4,3,4,4,3,3,3,4,3,2,2,3,2,2,4,2,4,4,3,4,3,4,3,3,3,3,3,3,3,3, , , , , , ,3.4,3,1.8,.666666666666667,1.2,.75,3.2,2.5,1.6,2.66666666666667,1.83333333333333,.666666666666667,1,2.33333333333333
I accept,2,B3,20,"MOBA, Walking-sim, FPS, Action",Nothing at all.,3,3,4,3,2,4,4,2,1,4,4,4,3,3,4,1,0,1,1,1,4,3,4,3,0,0,0,0,4,4,2,3,4,3,4,2,3,3,3,0,4,2,0,0,4,1,3,3,4,1,4,4,3,4,2,4,0,0,0,1,0,0,0,0,0,0,3,5,2,4,3,5,5,4,2,2,1,1,1,2,2,2,2,2,4,4,4,5,5,2,2,5,4,4,5,4,5,1,5,4,5,5,4,5,1,4,2,4,2,4,4,1,5,4,4,5,4,5,1,4,5,4,5,4,5,1, , , , , , ,3,3.16666666666667,3,.666666666666667,3,0,3.4,3,1.2,2.66666666666667,3.5,.166666666666667,0,2.33333333333333
I accept,2,B4,16,"Action, Horror","I think I've seen it before on steam, although I barely remember anything. Only thing that comes to mind is seeing a group of people in the image and I remember it being some kind of horror game, although I might be wrong.",1,1,1,0,2,4,3,2,3,2,3,4,4,2,4,3,1,1,2,0,3,2,3,3,0,1,0,1,3,3,3,3,3,2,1,2,3,3,0,0,3,3,4,0,4,3,3,4,3,2,1,0,3,2,1,0,3,2,0,4,4,2,0,0,2,0,3,4,4,5,5,4,4,5,4,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,3,2,2,2,2,2,4,2,4,4,4,2,4,5,2,2,1,4,2,4,2,2,5,4,5,5,5,5,3,4,3,3,1,2,2,2, , , , , , ,1,2.83333333333333,3.4,1.33333333333333,2.2,.5,3,1.83333333333333,2,3.16666666666667,1.16666666666667,2.5,0,2.33333333333333
I accept,2,B5,15,Moba,I don't know it,3,4,3,2,4,4,4,3,1,3,4,4,3,2,4,3,0,0,0,0,1,1,0,1,0,0,1,0,3,3,3,3,4,3,3,3,4,3,0,0,4,4,4,2,4,3,2,3,4,3,1,0,1,3,0,1,0,0,0,3,1,0,0,1,1,0,3,5,4,4,4,3,5,5,2,3,2,2,1,1,2,1,3,1,1,1,1,1,1,4,3,4,2,5,1,4,5,3,5,2,5,4,5,4,2,4,4,5,4,5,5,2,5,5,4,5,4,5,4,4,3,3,3,4,5,4, , , , , , ,3.2,3.16666666666667,3.2,0,.6,.25,3.2,2.66666666666667,2.8,3.16666666666667,1,.666666666666667,.5,2.33333333333333
I accept,2,B6,21,"MOBA's, Fighting Games, FPS, Platformers",Nothing yet,2,1,4,1,4,2,3,2,0,3,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,3,4,3,3,2,2,2,0,3,3,0,0,4,4,3,3,3,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,4,4,4,4,4,4,4,4,3,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,3,3,4,1,4,5,1,4,3,5,2,5,5,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , ,2.4,2,1.4,0,0,0,2.6,2.66666666666667,1.2,3.33333333333333,.5,.166666666666667,.5,1
I accept,2,B7,19,"MMORPG, MOBA, RTS, 4X",Not familiar at all,1,3,3,2,3,3,2,2,2,2,2,4,1,2,3,1,0,0,0,0,0,0,2,0,0,1,0,0,3,2,2,2,3,3,3,1,2,3,1,0,3,2,3,0,3,4,3,4,4,4,2,3,2,3,1,0,0,0,0,2,0,0,0,0,1,0,4,5,5,5,5,4,4,5,4,2,1,2,1,2,1,2,2,2,1,2,4,3,4,3,1,1,2,4,3,4,4,2,4,3,4,3,5,4,2,2,1,3,1,3,4,1,5,5,5,5,4,5,4,4,3,5,4,4,4,2, , , , , , ,2.4,2.16666666666667,2.2,0,.4,.25,2.4,2.16666666666667,1.6,3.66666666666667,1.83333333333333,.333333333333333,0,2.33333333333333
I accept,2,B8,10,"Multiplayer, FPS (first person shooters)","Nothing, first time hearing it.",2,3,3,0,4,3,3,2,1,3,3,3,4,3,4,4,0,0,1,0,3,3,4,3,3,0,0,0,0,2,1,4,3,3,3,3,4,1,4,0,3,4,3,0,4,3,4,4,4,4,0,0,1,0,1,0,4,4,0,4,4,0,0,0,0,0,4,4,4,5,5,2,5,5,5,3,2,2,1,2,3,2,2,2,4,4,2,4,2,5,3,2,2,2,2,2,4,2,4,4,4,4,4,5,3,4,4,4,4,4,5,2,5,5,5,5,5,5,5,4,4,4,4,4,5,4, , , , , , ,2.4,2.5,3.6,.333333333333333,2.6,.75,2,3,2,3.83333333333333,.333333333333333,2.66666666666667,0,2.33333333333333
I accept,2,B9,10,"citybuilding, rpg, real time strateries, sandbox, shooters",nothing,3,3,3,3,3,4,4,3,3,4,4,4,2,0,4,3,0,0,0,0,1,0,1,1,0,1,0,0,4,4,3,4,4,3,3,3,2,2,4,0,3,3,0,3,2,3,3,3,3,3,3,1,2,3,2,3,0,0,0,0,1,0,0,0,0,0,4,5,5,5,4,4,5,5,5,1,2,2,2,2,1,2,2,2,1,1,3,1,1,1,2,1,2,4,3,4,3,2,3,3,4,4,2,4,3,3,2,5,4,4,3,3,4,5,4,4,4,5,5,1,2,4,2,4,2,4, , , , , , ,3,3.66666666666667,2.6,0,.6,.25,3.8,2.83333333333333,1.8,2.83333333333333,2.33333333333333,.166666666666667,0,2.66666666666667
I accept,2,B10,8,"MOBA, FPS, Sandbox MMO RPG,",I know nothing,2,3,1,1,2,3,3,2,2,2,3,2,1,4,4,2,1,0,1,1,2,1,2,3,1,0,0,0,1,3,2,3,3,2,1,2,1,2,1,1,1,2,1,2,3,2,0,3,3,2,1,0,1,1,1,2,0,1,0,0,2,0,0,0,0,0,4,5,4,4,2,4,4,4,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1,3,3,4,3,1,4,1,4,3,4,2,2,5,4,1,1,1,1,1,2,2,4,4,4,5,4,4,2,4,3,4,4,4,4,1, , , , , , ,1.8,2.5,2.6,.666666666666667,1.8,.25,2.4,1.5,1.4,2.16666666666667,1,.5,0,2.33333333333333
I accept,2,B11,5,MMORPG,Nothing,1,2,3,2,2,4,4,3,1,4,3,4,3,3,4,3,2,0,1,3,1,4,2,2,1,0,0,0,2,4,2,3,4,4,4,3,2,3,2,0,3,3,1,0,2,2,4,4,2,3,2,3,3,3,1,2,1,2,0,2,1,0,0,3,1,0,4,4,5,3,3,3,4,4,5,3,2,1,2,1,1,1,3,2,4,3,3,2,4,4,4,3,2,3,2,3,4,3,4,5,4,3,4,5,4,4,2,2,1,2,3,2,4,2,3,2,2,4,3,4,4,3,3,3,4,5, , , , , , ,2,3.16666666666667,3.4,1,2.4,.25,3,3,1.4,2.83333333333333,2.33333333333333,1,1.5,2.66666666666667
I accept,2,B12,25,"RPG's, Idle games",Nothing,3,4,3,4,3,3,3,4,2,3,3,2,4,3,3,4,0,0,0,0,1,3,3,3,2,1,1,0,3,3,1,3,3,4,1,2,1,1,2,0,4,3,1,1,3,4,1,3,4,4,3,3,1,4,1,3,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,4,5,4,4,2,1,1,2,2,1,1,2,2,4,4,5,1,1,4,4,4,2,4,2,4,5,2,4,4,2,4,4,5,2,4,4,5,4,4,4,4,5,5,5,5,5,5,5,3,4,1,1,1,4,4, , , , , , ,3.4,3,3.2,0,2,1,2.6,1.83333333333333,1.8,3.16666666666667,2.5,0,0,2.33333333333333
